T,FC,x1,x2,x3
1,0,4.481189643820292,6.007891479041537,4.46667858626297
2,1,4.795985157624154,2.2953891100105954,6.005934044684014
3,2,2.5375108316890955,7.005065940653802,4.07038465239082
4,5,8.305134130013178,4.126447049148948,7.728164922304594
5,0,3.450584618837799,5.598763057382534,3.2038717988709244
6,0,3.609285786641439,5.282927831541334,8.222465637173707
7,2,6.186896416731513,2.085215660155074,3.055093096004758
8,2,3.0621992631720722,5.610099021583487,8.736264993196574
9,1,4.224299022562959,7.49002484258011,5.760163788709543
10,2,6.010798207867107,7.157021547600066,7.29725874430742
11,0,5.223525521237362,6.258870253983374,6.604624090910862
12,0,9.107782696972759,2.4172049409768808,3.3338423462645563
13,3,7.221200331366511,5.110418317809248,3.4938666809143935
14,0,3.7399833749363953,4.645280980679295,6.045959882627365
15,1,2.2294390803442985,3.231674311550547,8.522361300364814
16,0,3.8485521173951494,8.562556226111994,5.687385504542514
17,1,4.595094407753143,7.0926292514307185,2.079975816085765
18,1,7.236170908795529,3.4682761840805845,3.7933427464396394
19,0,5.2387711106631105,7.022356079898888,6.066393670172641
20,0,4.4260453468511,7.628982849533012,4.466536060638716
