T,FC,x1,x2
1,3,8.24146207235447,5.095644608933446
2,5,8.64769687503697,4.240861973874202
3,1,5.6668730821559175,7.246563468476979
4,4,2.7604228846086523,7.601549722902598
5,2,3.5818144122801576,7.044864778315302
6,2,3.4981744431394635,6.229416290992193
7,4,6.134155483022366,5.432089837988602
8,3,7.936667784361749,3.0187926204733575
9,7,4.586902236535732,7.273231433877871
10,3,3.138014699835104,2.947248370154011
11,5,9.237625884502323,4.016833211359311
12,3,5.12063332148932,9.283713286202763
13,5,4.013140065146452,5.388928747560924
14,7,2.101902659141728,2.4407261814761734
15,3,3.5138819273612683,7.218125197962821
16,0,7.846993394216342,6.929827813965233
17,2,7.3387297278899535,5.835699317201588
18,1,5.133290255521912,3.6410670816661614
19,3,8.345417453920556,7.156294610877961
20,1,6.968165886726851,7.315101725775525
