T,FC,x1,x2,x3,x4,x5
1,51,0.0531,4.0,1.0,0.0205390823450155,3.3483886913141054
2,21,0.0619,20.0,0.0,0.0115738774922493,0.655796312578012
3,4,0.158,1.0,0.5,0.016319097917762298,0.524304700681492
4,3,0.081,1.0,0.5,0.04881920761143694,0.636562415921539
5,7,1.046,32.0,2.0,0.7557217500035457,21.93876442304851
6,0,1.75,32.0,5.0,0.2663714274680856,4.53280483962272
7,0,2.96,24.0,4.5,0.8285329386164617,2.340743676533097
8,0,4.97,24.0,2.5,4.429440768657508,9.662496974247674
9,0,0.42,24.0,4.0,0.3562354226302751,10.060950582082494
10,0,4.7,30.0,2.0,3.41956181294827,5.870511023906824
11,0,0.9,0.0,0.0,0.5547404063259549,0.0
12,0,1.5,8.0,4.0,0.7449158698003674,4.637287103606656
13,0,2.0,8.0,6.0,1.6918885191209512,4.35806837031188
14,0,1.2,12.0,4.0,0.9800801251036126,5.53217715145907
15,0,1.2,20.0,6.0,1.1493768929833577,7.345923544589916
16,0,2.2,32.0,10.0,1.8344364492679,6.4419959338741535
17,0,7.6,24.0,8.0,4.691820285456016,18.73018195791985
