T,FC,x1,x2,x3,x4
1,26,0.0531,4.0,1.0,0.013957705236545475
2,21,0.0619,20.0,0.0,0.03915245957421203
3,10,0.158,1.0,0.5,0.007160020890182637
4,1,0.081,1.0,0.5,0.05627009815602974
5,7,1.046,32.0,2.0,0.3629245806802472
6,0,1.75,32.0,5.0,1.565976996847971
7,0,2.96,24.0,4.5,2.8807014737497987
8,0,4.97,24.0,2.5,0.8771475971572318
9,0,0.42,24.0,4.0,0.1977525246820764
10,0,4.7,30.0,2.0,3.1609173625188465
11,0,0.9,0.0,0.0,0.5170192017439512
12,0,1.5,8.0,4.0,0.06611441542796387
13,0,2.0,8.0,6.0,1.9614864888454824
14,0,1.2,12.0,4.0,0.8919400554647543
15,0,1.2,20.0,6.0,1.1441307955295887
16,0,2.2,32.0,10.0,1.845335038034959
17,0,7.6,24.0,8.0,5.289923004412326
