T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,4,2.8740998148892407,4.113370927540597,3.517063037337852,6.233189047330223,6.85454464856417,5.162787078873867,7.089286819379259,3.0735945458209954,6.0367009983783015
2,106,6.184593664216122,3.0069740811728476,5.80894244433096,6.851151494414866,5.0700521989197815,4.924820256585532,8.94515709887581,7.179930692482972,9.098890880025357
3,2,6.222131036935026,4.941378791745736,7.217352481646661,5.3412922385065045,8.288319888029493,2.290750225264173,4.026578947817209,3.1691354293419662,4.8650804360513025
4,0,4.794062309127344,6.035426622744322,3.2347556764338434,4.3283741893986445,4.4651016424614385,5.816920197946112,6.311306948534683,9.192412508714797,6.664123461226968
5,0,5.011330944251305,4.5247709318289235,6.077692502184856,5.799312716065088,4.961731387518815,5.25841389555964,6.05735809641438,2.071174436081477,7.978545330035404
6,0,7.079282548334662,7.047740943329863,8.380616552842806,6.100331271270075,4.408502303760201,6.613842718082489,7.522174987501967,3.6504080552622717,3.403476188259958
7,0,5.790113512029006,5.072922061211869,4.189050248765057,6.508457815794325,6.358892319151064,7.059128663061137,7.0093354546363065,3.26230175851813,6.437999760402129
8,0,3.0192126055194954,5.417449980187703,6.011364219117489,5.21830416419167,3.8584306155065624,4.0713402692259155,5.488951505274095,4.097179425624237,3.768652780893964
9,0,4.097952082772452,2.2960035111668864,7.410235843637445,5.327473024978593,5.708143267957487,5.69614980783196,7.451756635344669,6.917629868599402,3.7148894936244514
10,0,7.869154414639976,5.208691550253182,5.1781704220038,5.138819957862196,4.5070563096146,2.5716822354161897,6.56907974354648,5.84754426465696,5.42544982994584
11,0,8.930625087673954,5.128546903628998,3.8240061230994917,3.999514484606534,5.695167966806059,6.363231051606814,5.823514352867523,7.2842631861277,2.459683780455476
12,0,5.759660228595026,7.144945208973492,6.179252868835165,3.3823906761024127,6.376202573464452,4.161661560894652,4.894823422320099,4.061631913127311,4.037279701436921
13,0,6.097896196750655,5.1499716817453365,2.2690383168508226,5.021331248771935,3.7354697798781475,2.3264004701441383,5.933831779414464,4.006896793931218,5.777780268470572
14,0,2.594299494032884,3.05514464456683,3.6350252151627225,7.2341050799856665,7.776015532585303,4.16074508855605,7.731071919822013,7.748782410792117,5.850417860411012
15,0,7.091936573630444,8.398172859842711,5.215387775219883,4.23526815997209,2.437566262633057,6.744494791080584,5.125304366527769,7.024940427114237,4.052308096047796
16,0,5.216437093408248,5.629603979469206,3.925301020608816,7.9677885372778725,5.642705728978604,6.7593416926530665,5.499385623921351,3.481129659764059,4.4053534055360615
17,0,5.086800027780382,6.08929564945362,11.12654205907334,7.238093664261984,6.249143684329064,6.086226918196186,6.324312418534841,8.585391783125878,7.721168850344189
18,0,3.9528544161011414,8.061158082643496,4.589890808107177,4.045312476331082,8.44223707918783,2.383901827397378,4.1334974925408,3.2961448544082153,8.216201455301322
19,0,5.522844857094911,6.678961472667568,4.503949432395809,3.342561867278259,7.045313129662417,6.529872489231388,5.427158135845043,2.2352968284801027,3.072220012693829
20,0,3.3107944311121065,3.005806753880963,4.016122246676329,6.748711006820573,3.3137198592533794,9.127074452117487,5.020389707264477,7.231534724867575,7.2993959659795955
