T,FC,x1,x2,x3,x4,x5
1,2,8.072823888652222,4.463240324767122,7.196051872920319,6.451402794231944,3.372640812115827
2,5,5.05252320099649,7.613875617681403,3.434188376624654,6.112131031737336,7.552246674430348
3,4,4.236526950808877,5.297793563596456,7.17892723502229,3.4124961779487006,4.858874245836669
4,6,2.0203911361511606,7.311966006872836,8.225496845465848,2.6357269769862217,4.134529153359542
5,10,8.091363884766942,2.3802742082832467,5.896857132834102,4.437263479495052,4.57529555694464
6,4,7.5548978617891125,2.7198384025907956,2.7719217988043376,8.515173342076931,4.129002993341253
7,5,2.207043238086905,6.186390211878539,2.7256675799679497,3.267612176232704,8.374643099125425
8,5,3.8196828880536176,7.284254510211397,7.265685776361431,6.107687070780533,7.3692364326962965
9,6,4.818098191673151,5.33136972631985,4.266121034994905,3.2848694113372177,6.420260163570315
10,8,5.127283650521919,9.674352881080765,5.33689867660072,6.585317314072512,5.112445239626871
11,6,6.067399504282477,5.896072278025212,6.987137530267085,5.018917274496173,3.3856542018033657
12,3,3.8844233624991222,4.05634906749201,6.05370692213634,6.964199644561016,2.9319206218366736
13,5,6.0771972819023805,3.42141255980668,5.3403225878707214,4.65057286808184,7.880308748986009
14,3,6.48809289833063,5.701840736779158,5.960403033710424,3.1838125237445065,3.621652019684679
15,1,7.245687001873774,5.7342077241377165,2.3670295212215384,4.834766501666417,2.505855714280551
16,3,3.194881758500605,2.4342333137480665,7.649900984436167,7.74717744691867,2.4247379477116207
17,3,7.556541548697232,7.291575748220962,5.044307439679548,5.562625276801738,4.537304806105541
18,0,7.074178598951334,2.103522691697339,2.7265994927366664,4.815743098227593,7.0256922347142945
19,0,6.74691738895638,7.117853797274747,8.496480888324099,2.638235466637231,4.6746258832207825
20,1,7.1628524874331045,2.2590535154387945,4.463063417745076,5.0595208509961065,6.9219103365072545
