T,FC,x1,x2
1,2,7.33388068606621,6.659052198189407
2,3,11.17154064839991,3.445067463181319
3,5,8.788968115122294,3.2402753863018914
4,4,6.348864924275164,7.774583161433592
5,6,2.9373695834670985,5.996623865825154
6,7,4.477321970723343,3.668154779270135
7,6,6.096749089879321,7.719545751268043
8,3,3.597552942901599,7.12949902514411
9,4,5.4944417917161985,7.871477024641248
10,8,7.024268304415185,9.949177165788528
11,5,5.609224957199917,5.614349924552571
12,4,6.077220364326682,3.3590059394850043
13,4,8.232084424337193,7.4465944097862735
14,2,7.137956411890657,3.854409974569068
15,6,2.305639576325336,4.304360200492055
16,4,5.371080322286052,5.13820210003369
17,3,10.318015955541192,2.169423821447086
18,1,5.058067318343878,4.0910534296137255
19,1,7.185254885829032,5.753338640482184
20,0,6.093050248517064,2.5056490196229673
