T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,7,8.03363972911445,4.1595218330818575,2.5063480336652773,7.042771135473307,6.257115714984282,8.41226656287732,7.44164416307461,7.067408258355839,10.230713672561365,5.158233190909398
2,4,5.923195627152327,5.891615037026128,5.289850085551681,7.806122362523557,7.309086480521064,7.140935575053451,7.869518453394594,8.818750013789982,7.558127140570084,5.111918600048426
3,3,4.991459666459543,2.746021081031531,4.072778422289258,6.02283857408662,3.2900188148780547,3.259034342128165,4.003924126498351,7.35538379845484,4.339494282064131,4.486931314985066
4,5,5.615312520052724,4.22006246899634,2.008085290254033,8.963498504132934,5.548793542124807,4.606303146422515,5.156911725502929,8.212137087220011,2.0160468610397366,2.064351131933977
5,6,5.400130963771378,9.583920015003567,6.926029652870124,8.380167895609866,7.0921545037146085,5.0521669315241144,5.307679967606683,6.019819368280279,7.673324055159702,7.454096665307018
6,1,2.255224002989717,4.610456967902072,6.324784906355992,6.0532067538273875,4.8627571074441205,5.003343752140878,2.164335801737904,6.024640465951692,4.831171331650406,6.548597352016989
7,4,2.6970628452416263,6.1827372305538955,6.6737822911402676,3.7583353398461306,6.075270181181589,4.681276238415299,3.2803507661247036,7.266360187962922,5.037611961419138,7.769418592999632
8,4,2.4744673178661984,5.293488240492335,7.6083126088986175,6.63772417344247,5.095778389594509,2.0280863112555245,7.0941420346484945,3.3715078386471857,5.559061563959665,6.083568630632036
9,3,7.309098025630765,5.934544640354128,7.3066377002720735,7.097514232621776,9.06530269706213,7.332095786683848,6.648051231436938,5.964468613458957,3.2187789827344866,7.771365672734417
10,4,4.687787612724604,10.639773213992994,5.392655717665691,5.6078422422407215,4.158850406572121,4.534100715902968,3.615496715764874,3.0939252122181813,5.91847916829804,7.299760630431059
11,2,3.352573018676261,7.642578153348463,4.150180305924016,4.795557223112067,8.273935562983674,3.5518031431374806,7.133336601653108,11.056196985265272,3.192513148845926,8.565471555904592
12,1,2.0803940233280023,7.245996059693673,6.824492177723068,6.120475509134604,6.319103707788931,6.181961672597382,7.06905750300489,4.313887672985304,7.984999622960592,5.0323168992346465
13,1,7.5138085186503165,4.655933292199584,5.003405019352856,5.324855015573281,5.526077952262393,6.136977199352776,2.463554854507994,5.918851079032843,6.678656776149839,7.699589888577378
14,0,4.4371070286325045,6.069489883615494,8.604429995373923,5.949215187640802,2.1748570283082507,3.4964119892625987,4.144264972598596,2.6803020666986943,3.3817092807080176,3.8973167948272875
15,2,5.681191044735324,7.241903720309237,3.0691414320810697,5.761077922415952,6.616606691534541,6.133165150263793,5.391251227393548,5.03233378318695,10.12515627459916,8.165058553296223
16,3,5.25672990712095,2.4561897567838797,3.0684779924567276,3.9142967045119104,4.1912051710520775,5.31260247459025,4.11898866426408,3.0912663312050492,7.699277933579202,2.478180398439844
17,0,3.362473665414341,4.60740824968465,2.1287362901723297,7.44119873610082,4.150919928626546,5.782917477727632,3.101052212435608,6.994246708476134,7.690399355038686,3.627130749092164
18,2,3.3733670193777776,7.473567960180795,7.2887369383179745,3.0609706882135397,3.117446196213748,5.588316838347117,2.3467585659530292,6.038647377625041,6.809802720694603,3.0296837645968604
19,0,4.208878518508309,6.31032130440299,3.012070521337344,7.356813216925208,7.337620707498159,5.386116729793221,2.422851678544044,4.740450802845199,7.6917747340834,4.319992202580409
20,2,8.200357902263024,2.6235598352842064,3.1244353844127075,6.3016785990514546,4.311713210247157,6.15239516771948,2.475856076150238,7.765931278803462,6.429450903729664,5.357207455492526
