T,FC,x1,x2,x3
1,3,6.42792912477077,8.047502530677782,8.691437239179264
2,1,3.7184219913659713,2.1414909097383465,4.7746972310883224
3,2,7.346140847914578,8.099676042588703,4.209960182969654
4,2,5.456076765828372,5.422972339499136,4.178590577544196
5,9,8.29549070622957,3.0228176001092173,8.850011756714112
6,6,4.879540177453577,3.045143883422062,2.394930563807988
7,5,2.7191023300441612,6.064332310546525,5.653158737578282
8,9,4.084560914880459,5.930755894420311,5.8543371656659176
9,10,6.452639367636985,5.43722533478095,7.134692942542301
10,7,6.83866145156923,6.708960751235078,6.53147247104102
11,8,7.3580745763158095,4.365295919122356,2.6176161159722993
12,7,6.485271304440798,7.721799500864012,5.156366996753833
13,4,5.478129393525439,4.002265740358305,9.212347736461787
14,4,10.765862069294936,5.076895640522968,7.263849686606723
15,4,6.900114006230475,9.261073682373738,4.392967724939243
16,3,4.087721017777589,7.455504064424428,7.535248258906622
17,0,5.586087748163188,2.568219907135269,3.2270756375954055
18,1,2.535408600338738,7.2537806189728515,6.154447807819226
19,1,4.487190968740375,5.390197734384335,7.8158482916648495
20,0,3.7283050156333677,5.798474338830644,5.960301762251779
