T,FC,x1,x2
1,0,7.428632311527791,6.404068944939856
2,2,4.6562322404918435,4.137619152272744
3,4,5.503740162523784,2.0983965789030083
4,2,5.0899658940783885,3.1006865608929473
5,3,7.313091828521722,6.291588386323669
6,4,7.4053091825998845,8.206713947891465
7,13,8.213218970442343,6.069419187932654
8,2,6.182872358815277,11.83521163640589
9,9,5.501709558711494,3.498102842944022
10,5,7.403139555385576,6.564123399580174
11,5,5.198838754789281,7.018996068664358
12,4,4.074542773705916,3.610547154754992
13,6,2.406473492589629,5.82657694176302
14,8,4.072978574040519,4.680231980599564
15,4,6.223545465995702,4.726983058266839
16,7,8.919614157151383,7.422418638595477
17,2,3.1783719963946586,4.7370373595913655
18,8,5.343973443486706,7.459801991625955
19,4,5.291177888956857,3.3419158315508364
20,3,7.192298692937177,5.360472216080375
