T,FC,x1,x2,x3,x4
1,2,0.05,1.3,0.5,0.004428982524920094
2,12,1.0,17.8,2.8,0.506432913089033
3,1,0.19,5.0,1.0,0.14829730029424149
4,3,0.41,1.5,0.5,0.2766795584837446
5,1,0.32,1.5,0.5,0.008694888827274596
6,3,0.61,3.0,1.0,0.5243840923699937
7,4,0.32,3.0,0.5,0.0793439633173956
8,2,1.83,8.0,2.5,1.6003883003729926
9,5,3.01,30.0,3.0,2.049633172277021
10,0,1.79,9.0,3.0,1.5331622326583
11,5,3.17,25.0,6.0,2.754438196780874
12,1,3.4,15.0,4.0,0.7742019107122633
13,1,4.2,15.0,4.0,3.5872443317784435
14,1,1.2,2.0,1.0,0.7191635878331577
