T,FC,x1,x2,x3,x4,x5
1,3,0.05,1.3,0.5,9.310833692810495e-06,0.725063472004222
2,4,1.0,17.8,2.8,0.49095424550813804,5.436115872706772
3,3,0.19,5.0,1.0,0.11699170208793806,2.168224483244456
4,4,0.41,1.5,0.5,0.18350293456632344,0.41169297290075063
5,1,0.32,1.5,0.5,0.07906196284429721,0.9420204105300831
6,6,0.61,3.0,1.0,0.08459906466028473,2.6720744661016735
7,1,0.32,3.0,0.5,0.3043963016357174,2.114045890320928
8,3,1.83,8.0,2.5,1.5519159344635958,4.299367329175239
9,9,3.01,30.0,3.0,1.6228491792624937,14.134267031726973
10,4,1.79,9.0,3.0,0.1372473114563324,2.055807461982306
11,0,3.17,25.0,6.0,1.1156033153862586,14.691419442476814
12,0,3.4,15.0,4.0,2.2244388641338215,11.396570566410205
13,0,4.2,15.0,4.0,0.9950964149251426,7.831219384934256
14,0,1.2,2.0,1.0,1.0763967028724883,1.511728738790578
