T,FC,x1,x2,x3,x4
1,1,0.05,1.3,0.5,0.0052252802046261265
2,15,1.0,17.8,2.8,0.6396374938130004
3,0,0.19,5.0,1.0,0.16469964873626108
4,5,0.41,1.5,0.5,0.3370547654498339
5,1,0.32,1.5,0.5,0.0643057137622774
6,6,0.61,3.0,1.0,0.4681452669825997
7,4,0.32,3.0,0.5,0.2293697331009696
8,5,1.83,8.0,2.5,1.2820255394562874
9,10,3.01,30.0,3.0,0.8874986430771672
10,0,1.79,9.0,3.0,0.8915858695502076
11,0,3.17,25.0,6.0,2.866510342903728
12,0,3.4,15.0,4.0,1.646195019297659
13,0,4.2,15.0,4.0,3.179780430328217
14,0,1.2,2.0,1.0,1.1900756203320009
