T,FC,x1,x2
1,1,10.352445126347366,5.8122818369653855
2,0,6.743330624839976,4.403197406541723
3,3,7.282980977753641,10.429574339030843
4,1,5.842118786838581,6.6764047305859435
5,0,6.117836259286921,3.801545150405158
6,3,5.723716065026634,2.2249872152227548
7,0,5.8406958371560425,6.645337074854428
8,0,6.101343158996829,5.803230227557572
9,0,8.885135274502272,7.434296109895071
10,3,4.035481645826109,6.379064745569975
11,0,8.256288614701091,6.281101738576832
12,1,5.078657518645093,4.345863214269157
13,1,2.083836047870013,6.762771604031634
14,1,6.700375453149242,3.0496357180472957
15,0,3.2635880425194306,7.0579780827524
16,0,4.021084451046621,2.4920749500826727
17,1,8.811824221627509,3.8386850288475363
18,1,3.393708771906208,4.810502025701801
19,1,7.784368247520841,2.0650222629626698
20,2,7.786285267129803,4.295219469641095
