T,FC,x1,x2,x3
1,2,5.112660636395692,5.218424369201682,6.614502498753521
2,3,5.401305612750163,6.342965301948244,3.346225211918327
3,1,3.041812810966266,5.201850387002192,4.279933644557071
4,3,4.343315604920553,5.599015519793336,3.1748518634691076
5,2,5.735183183368452,3.3470148452960347,3.9775889054437936
6,1,8.881518794828695,3.5026790459415733,3.194029930544101
7,5,2.0037387253847263,5.601147463432872,5.323628656173517
8,4,2.000766115139456,4.692482281290518,6.54064968094358
9,3,4.750379207962094,3.465145898353244,4.202284096889648
10,4,6.629969786959649,2.322634935086509,3.570115412996631
11,3,8.24299785700997,4.4187225007573545,3.2999818131787246
12,0,6.000509891393494,5.720495347586512,2.8911012493498722
13,2,5.986156510631945,4.160024130006654,6.76144217000855
14,2,3.308859563648577,5.043657302848695,5.068928168560428
15,0,6.056025701641688,2.207556283112129,4.100287652337521
16,2,5.745511743141965,4.416291872179102,3.1466150162698856
17,1,5.197663957536807,5.050515297765693,2.992904160207338
18,3,7.108055977220638,8.09589395743946,5.902977822724753
19,1,5.097564497798977,2.2629182264454295,8.614098685428036
20,1,4.196516107575932,2.165568157413651,6.545219090820735
