T,FC,x1,x2,x3,x4,x5
1,0,0.05,1.3,0.5,0.0241228021185562,1.27516523340833
2,8,1.0,17.8,2.8,0.39470591669870925,2.868954966977806
3,5,0.19,5.0,1.0,0.1704494682795777,0.14171720768848373
4,4,0.41,1.5,0.5,0.38894697755454716,1.0525773410060886
5,3,0.32,1.5,0.5,0.2197826151402428,0.47876034388925437
6,5,0.61,3.0,1.0,0.39071130690763706,2.1378982679405
7,3,0.32,3.0,0.5,0.13775088335592375,1.309118297216367
8,3,1.83,8.0,2.5,1.3725973807393372,5.475183631952662
9,5,3.01,30.0,3.0,0.14368955637247294,22.122965636516767
10,0,1.79,9.0,3.0,1.1713964354768875,7.908753275987805
11,1,3.17,25.0,6.0,1.672413451117285,24.139853520275185
12,0,3.4,15.0,4.0,1.9779922668423344,8.247833777986989
13,0,4.2,15.0,4.0,3.574364712971885,8.760112043362696
14,0,1.2,2.0,1.0,0.8085446775679984,0.9387644423145389
