T,FC,x1,x2
1,1,3.813058661267716,7.593802329738102
2,1,6.148791245118099,8.763852038565913
3,2,6.776912757303922,5.069719682685654
4,3,7.414260219015246,6.015370779414334
5,3,4.631324207434289,6.160615958583545
6,3,3.380138612897013,2.5919160995844255
7,6,5.171544721413939,6.527082591286641
8,7,10.027519992140423,5.394499334120767
9,7,5.326685095722452,6.310883080622929
10,8,7.534132428083455,3.787171575983459
11,8,7.089661884440315,4.659007444501648
12,10,7.00171761851968,4.05500041530326
13,5,7.198761248380781,6.707317631885564
14,4,4.270553398193292,4.247672424145495
15,2,5.9201643170345255,4.690940432004585
16,5,6.0361417570564875,7.096523634410291
17,5,7.636370629106717,5.204862032937741
18,6,6.851050521041096,5.7667252959399775
19,4,2.345028735120872,8.274653554965939
20,5,6.0176655069028495,2.452672634679841
