T,FC,x1,x2
1,1,6.956969235930352,2.471743115005757
2,1,3.41950687006633,2.3316934043194752
3,3,6.516322838054968,2.2603011911588027
4,0,4.303524591110001,4.1854254753148865
5,2,5.942985177925495,7.290099137696878
6,1,7.583801680798127,5.162610129472846
7,2,5.880977139513032,4.846146631011756
8,0,3.2062837255715615,5.098657117666448
9,4,6.44378019930716,3.519875196044368
10,3,5.411104783651666,7.209012056277316
11,4,8.387865257285426,2.0406963415648236
12,3,4.451767019611541,4.990339186153646
13,2,3.0303528560118664,5.606634587280876
14,0,2.0563443808452844,5.043706204247784
15,2,5.976610257185142,7.153148726010502
16,1,3.569278516487052,3.0838555665538174
17,1,5.60491267153468,3.742643845810216
18,2,4.297219398680253,3.19155680283865
19,0,2.1707047258612167,2.5933318019014973
20,3,7.278411420708907,4.656376805568093
