T,FC,x1,x2,x3,x4,x5
1,1,8.634463946441198,8.75241738768355,6.282310659956255,4.291003551400662,2.0522052866703255
2,98,4.063245571248663,3.3904415524149893,5.7378408463402835,5.295549687089155,2.4262373426573984
3,42,4.1942361542364415,5.479402609040031,6.433602466886812,3.8027331518153016,7.982012344666433
4,1,4.289900845988653,6.63238324139989,3.6816613699404717,6.774537566503364,7.11602611485125
5,1,4.461274006541217,3.951101100823416,4.4932515042312815,5.226030633018513,7.421386484138691
6,0,4.322694497073336,5.134260956983356,4.054120104632345,6.542007610323563,3.2066976886228638
7,0,4.107344535428325,6.55666252338556,4.338499034308633,6.231505743013021,6.679680015694563
8,0,2.333507123572711,7.576024793294385,2.630443435052746,4.496528611035111,4.993617936700706
9,0,6.761512938439961,6.570138490114772,5.543386189823543,8.514693327650003,2.2741962915750165
10,0,3.401219270319049,6.0713376630013105,7.7094350226392026,5.000276467511801,3.0566969081470456
11,0,7.660151897196693,13.137651298076214,4.256426985282481,8.06901791876394,6.904205299660678
12,0,7.535855553127802,6.363756347969363,3.1962233672370384,5.3514444741182094,4.189560673145749
13,0,6.678713870180391,2.8705366019232734,7.755123022053997,5.112084378299137,4.369048584959966
14,0,2.269180439944501,8.4487653644766,6.224636243928703,9.612437580969374,4.281211862221289
15,0,2.337961341733979,6.1030699938688775,6.969561952099906,6.571732802178307,2.245078260327755
16,0,6.9940152610776956,3.912982931393512,4.051681170241656,6.345468724934839,7.36103712702417
17,0,2.572516674165924,2.9509880213554247,9.304164956636725,5.185720132381469,7.275303591608915
18,0,7.801458262135565,5.633056899422396,3.129981531408679,7.378926650606768,2.51085157969116
19,0,5.346153817450239,2.9183961807948124,4.737770335576154,7.13343076220525,6.32559450929867
20,0,5.045234751409328,3.573310375999707,8.801101817462039,3.257652080132299,3.3123725511320528
