T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,5,4.312836989331247,4.548853334919237,4.623788076804653,6.503084484748987,5.148836711138513,4.413666039069844,4.036373922015346,6.376697232211635,7.6443430423463345
2,10,3.086722171917224,7.5033504955861,7.34020254273183,7.443249330712014,9.253741717849577,7.4591282294500445,7.733744300412942,3.9141606993536238,7.092977317237339
3,6,3.0444201367564747,7.534807409338519,4.566539947778843,7.012935600572555,6.095970235359795,3.299732520287032,6.577374065083076,5.829837006356594,5.100575020204218
4,3,6.452615803005158,4.144503622705827,7.038667781128621,7.006297834432296,8.341918468204927,6.16671859633701,2.531018155507182,4.982065315047293,5.760491797251029
5,3,5.571407877049281,10.611160774875954,3.3052341843004918,2.055840812223527,6.239103979980203,2.401246476575923,4.033640871864925,4.117792493192635,4.629606084210463
6,4,8.89150470922214,6.247491991690906,3.059342154241228,6.503012967849276,2.4588087574016475,8.06468491118247,5.5791554863610395,4.304110421476123,2.690418849098845
7,5,7.918787294081102,7.315002025962735,7.203428366504942,5.02016371192212,2.511844013797454,7.190243975218161,4.271973816274142,3.762493499375036,6.351738999807379
8,4,5.010341523324594,3.0696714661226507,5.0346085626615915,2.4312615364234196,8.258525307053695,5.121747216066193,6.228703671387035,3.244256290963575,2.347531381776675
9,5,4.100723254374749,8.437423387795054,7.1148389308913655,3.552545830796482,3.90730666189798,3.1095096874987713,7.170203917500528,6.070297940987895,5.8087947583203565
10,7,6.908673867845977,7.494515984421276,6.180510862611507,4.880753899384,4.313938954784023,7.452894636309175,6.430933957923354,2.047470243517174,7.114946863184441
11,3,5.1812485077881485,7.114034880597511,4.259578354230643,4.794802821994172,2.260503118969037,8.629171602877033,6.01239342670483,6.376160350894476,2.817309223329393
12,3,4.639327052952976,5.246320936320464,7.8168602761777635,8.702097952474055,5.541074305544572,3.5311651360846454,8.823499219741686,5.945513706430792,6.911509306553557
13,3,3.7255586002411127,4.5149513579249,8.431941787255962,2.6768979123398307,10.71170982381841,5.345999551218195,3.4919237274244894,5.138794993721729,5.259567749470726
14,1,6.606239171905393,4.040295679059711,3.933235019155823,5.259207773228722,6.381285104432759,7.685417696133904,2.4022518387189056,3.0026421717205345,6.306518974354533
15,2,4.267227605654422,6.501387176098371,4.4095968674580295,4.169163018357281,4.342895724395539,6.736175373471614,3.099546926478376,3.200725919323969,8.774176272824358
16,0,7.658865274524577,8.705394252546682,11.543119299605568,5.195958739985881,4.134585939692915,6.778480763740288,5.173609063695464,2.2022355600335644,8.392821295448359
17,1,6.786301793640808,2.1242516903201416,3.8409833496276873,6.401645941696416,6.054818305820961,4.1941707279103815,3.52184784490065,7.890248060500511,8.692204989304521
18,4,5.226125766280619,6.25586845198723,4.049685338478377,6.017123960766788,11.056230448941507,4.199166357517357,3.039967223350869,2.21717286128128,5.327941397785916
19,2,6.649411442339787,9.814773084493456,5.193835445510923,5.7211801610575845,8.003535296362044,6.252653436479587,6.091205690307937,7.420059459349553,4.947849228045788
20,0,6.270710369963222,5.444729283010063,2.80664858883283,3.897278995903198,5.663737154032553,9.261083297218098,4.595537550740613,7.658647054431851,5.248298065532694
