T,FC,x1,x2
1,3,2.8379406091229655,2.073130018749762
2,2,3.7307252639682438,3.153708999478759
3,4,7.643774458565526,7.036642465734361
4,2,3.7931258130702066,5.180175251922535
5,4,4.00273709283905,5.438776369634321
6,2,2.190670903141278,5.904328758062837
7,6,3.091683493180776,6.525171003086124
8,8,6.086003772549412,8.734272954699302
9,3,4.1553556501436235,6.586351244325947
10,8,5.600672060312337,8.135853548565755
11,9,5.283160453730176,9.213749315858868
12,5,8.085973056403198,5.631011589840266
13,2,4.493778501576801,9.397192550768178
14,7,4.419851207389819,3.9174500834994177
15,5,7.282718140822387,3.437674020450729
16,4,6.743256219282221,7.104579156561311
17,8,6.029930991957779,8.423523101297151
18,3,4.288350147506452,3.1060822734095277
19,2,8.735280357903774,8.581200173873663
20,3,3.357504050796798,7.291203293021599
