T,FC,x1,x2,x3,x4
1,2,4.0377478879360575,7.550647606440412,4.016933700700833,5.703044712428973
2,5,5.091784661005164,4.8444089116484,7.6662263531010675,3.594354118548997
3,3,3.617574155272736,7.180072372449752,2.383855081892492,3.0091377886997592
4,8,4.016474586355043,4.587614767753851,7.8658712808266475,6.690820397460272
5,8,6.239887524999521,7.750175883137016,6.879539707048031,3.6701595332494774
6,5,6.209271037552818,5.617392817497405,2.6671778314545906,2.1584860989325296
7,8,3.711827190314521,6.475751287693101,4.157335639403371,8.004315688712484
8,2,4.966532985723467,6.5241419130824925,3.1717146989651046,5.147904537454808
9,2,4.041463864483416,3.1074802489328492,5.755026524371623,7.233360658445327
10,5,7.525616734234856,3.0947248817159205,7.921013021011229,3.4505743510291853
11,6,9.494236952713333,6.795120012148878,7.3238563249490145,4.622755775513987
12,7,5.7790751090185655,6.099633372697205,6.12487377503927,4.625672677659141
13,5,5.976090428840659,7.661501631555563,8.63625102588636,4.0259085183304
14,4,4.278340924259076,6.055957220917394,9.811132223907844,5.58611466034069
15,1,6.724684180202045,4.988980027167454,8.437608145583338,7.622544735116995
16,1,8.289206087328795,6.077340470404866,6.308762890005117,6.13936754068653
17,1,10.070374770253773,5.4468109330589165,2.820923964371011,8.135405815043326
18,2,6.190416224790945,8.838082064740258,5.760718630596627,6.057182278241232
19,0,6.789778829559582,7.087905072418213,4.81735965352452,5.713120929781743
20,2,2.3387872668039,6.190601417732365,5.79607009743307,3.176220944096719
