T,FC,x1,x2
1,3,7.609703695354805,6.604507292221214
2,5,2.7048904121565998,11.067301013640844
3,3,5.373337280396873,7.867111486904261
4,2,7.226467428231117,6.299629439903349
5,3,3.3197770470946955,5.186231770820368
6,4,3.0954205911851123,4.601997512114831
7,4,5.705919410970221,7.729633366330079
8,4,3.200797293912057,3.6738358583035553
9,1,4.413980789991639,6.340010420222811
10,1,4.784051307294847,2.5943369084778407
11,2,10.07122593138127,5.490551579748423
12,0,6.398208772315784,7.346130975309354
13,1,6.3161374715448435,6.061035548390194
14,1,7.18854558835659,7.060232464042372
15,2,3.2254223216014632,3.7135643282017186
16,1,4.2354894558593275,2.3486361431423317
17,3,3.530364046377838,7.352661440642233
18,1,6.163254084875627,3.24940598320683
19,2,5.014645743491622,4.291378259818806
20,0,7.508841493491646,4.315852462324608
