T,FC,x1,x2,x3,x4
1,0,0.0531,4.0,1.0,0.04951443627803174
2,0,0.0619,20.0,0.0,0.03500479687243752
3,0,0.158,1.0,0.5,0.004521997093081862
4,1,0.081,1.0,0.5,0.01963801127762392
5,4,1.046,32.0,2.0,0.5958726791957365
6,10,1.75,32.0,5.0,0.8360541553847116
7,5,2.96,24.0,4.5,2.3735432481566607
8,6,4.97,24.0,2.5,0.09493790994486617
9,2,0.42,24.0,4.0,0.4027455811037712
10,4,4.7,30.0,2.0,0.28050965578122766
11,2,0.9,0.0,0.0,0.2768698160915955
12,2,1.5,8.0,4.0,1.1875187524773458
13,0,2.0,8.0,6.0,1.9973624681289968
14,0,1.2,12.0,4.0,0.2695370128015511
15,2,1.2,20.0,6.0,0.23681967115040126
16,2,2.2,32.0,10.0,1.4608189446484827
17,1,7.6,24.0,8.0,4.845580780644694
