T,FC,x1,x2,x3,x4
1,0,8.29659600652572,7.774731323868579,6.1255570055585125,2.381067363600223
2,84,2.5758622917962035,4.967732464359477,4.327045630880509,6.004943298115541
3,33,6.257404746901623,7.713213453977855,3.4860962877567307,2.7602796284500437
4,6,2.3927818779840893,5.59713931183668,6.300778454235417,7.314811708117323
5,1,2.3912471703924343,5.072265208968563,3.0762431968124484,9.935750983860787
6,0,2.457972947295746,5.156664566952283,2.2311799038496773,4.59220539973688
7,0,2.734948993268544,4.361120756856884,2.0469957713886164,7.493325424371691
8,0,4.6468397366457115,6.2042757213704665,7.100875331703191,6.082034651480954
9,0,5.72379328050773,4.3247502623792204,2.1216989427197817,8.212832939264459
10,0,5.432194895322187,5.862906457959632,6.651020516104079,4.699685023086085
11,0,3.608568138667448,3.4660204322543957,6.395334022155385,6.294954427363106
12,0,7.223839391240444,2.08806105412203,7.467639750498429,3.5424821017788837
13,0,7.06138694084532,6.843737074810656,4.863751435957929,6.511643845332084
14,0,6.289597258347451,5.9053135256730585,11.016917567377675,9.8106636167232
15,0,7.246612991443785,5.996824143254585,6.959171049920326,8.193851850510166
16,0,3.025320750457104,6.536990137336479,5.5946611177911025,5.30481420465478
17,0,2.4416514448668507,6.32959404181967,8.449731016613935,2.3306003222147265
18,0,4.259196626304447,4.372765435381677,7.2240723667664035,5.780421029357864
19,0,5.194340158697157,5.839025796629624,5.796874694288162,7.444311838906088
20,0,4.233254776774488,3.0466942241579864,5.454530345009255,5.6231830250530415
