T,FC,x1,x2
1,3,8.169191203909378,4.2741925004479056
2,5,8.044462513258557,5.840527701253365
3,7,4.566060411625217,3.037199133555061
4,4,7.714030740873939,4.035926396652328
5,7,6.086526930848743,2.288992065126492
6,3,3.5750490091514355,8.225181915373879
7,9,7.102371374508316,4.0064186902175365
8,7,5.488490273672981,5.204054592964571
9,5,4.5095936442655145,8.359867598830583
10,4,2.499227214983837,5.023628264130998
11,2,7.170715960781935,5.845258551371535
12,5,3.8609507027387435,8.199497138686096
13,6,7.121688126650205,7.449392282545661
14,6,7.641288738923825,2.2056110927875423
15,1,6.339772943196374,6.390964061368873
16,5,6.111783189924761,7.484479091672317
17,0,7.268041167568879,8.561581890023442
18,0,2.1016195960875264,6.348939046340128
19,3,7.23720236515055,3.20299990500789
20,0,3.670861967303707,5.368734281135509
