T,FC,x1,x2
1,0,6.253097420414691,7.315989216067328
2,2,2.1606610975316367,5.272617096002116
3,0,2.2317424590096415,5.179579684166646
4,1,2.290672702761297,5.232238728414723
5,2,2.2016252585571596,6.234065179464918
6,1,7.231066269884723,5.124393168331766
7,2,5.134854742324899,6.73979673957036
8,3,5.602062941926512,5.683856769398923
9,2,2.224501452558896,4.612172025363503
10,1,4.790720255732501,6.059740558583748
11,4,2.866376051095747,6.655685259566615
12,5,6.903353782563987,5.441253494397859
13,2,4.267099764430908,10.190225318557086
14,2,6.0061372848067816,4.386351547056572
15,1,2.1836336880986975,2.413057457564968
16,1,5.767986010360227,5.060467602753023
17,6,6.031872547429158,6.052794330754058
18,3,7.136106221960825,6.456132659516838
19,1,2.332100019614399,7.113931044593076
20,0,4.125550797416887,2.176702952707779
