T,FC,x1,x2
1,0,8.726032224284632,7.467538068461893
2,1,4.0919099161977455,6.795096050259961
3,0,6.9670305495592775,4.2165747819965205
4,7,6.0095714121813995,7.363810865385717
5,2,3.5093808117361673,7.412750592394406
6,6,5.223834949891322,5.645241298984401
7,5,4.62710489519138,4.0657526866352125
8,3,7.249620620317437,7.380900012816385
9,6,2.85866436390329,5.045670311810191
10,6,6.4061766812347525,4.385932767389916
11,7,7.515188823804103,6.342603219079011
12,5,5.173240914757029,6.79121734132264
13,3,5.630597993862994,7.137991298588391
14,7,8.236780988435571,6.858647194301607
15,1,7.244875007644746,8.233979603575147
16,5,6.149031453374349,3.518488952061483
17,3,7.75273770522858,5.119727875243882
18,2,3.086749420147187,6.822769787627959
19,2,3.1596142421528595,7.1633251557858
20,3,7.00154812950006,4.20041668171626
