T,FC,x1,x2,x3,x4,x5,x6,x7,x8
1,1,3.4577949345198142,3.2960818758981154,3.2651738507461467,3.6774987604409475,4.319975233309711,4.5148819871419965,10.74362031198601,9.279850253577756
2,4,8.20491930993871,3.3978498408042714,8.713987183917537,4.920321778015781,6.317115265082152,5.2034566451536115,7.949327364737218,5.90586261457648
3,3,6.790788014974988,2.9942438383977645,6.226813241730379,5.9158657553665694,4.520939190934599,7.582300011046367,5.641781067478397,7.7217524109915345
4,3,6.1888588259292705,3.8031987018658016,6.0060055147181055,6.462031821813005,3.0168910343977253,3.8171966188198274,6.575982713176088,4.957437919439332
5,3,5.2629541939677225,6.748751827053261,7.193108144064501,5.136281810079598,6.747007905878172,5.75923433901735,5.592279845208501,4.152991366081593
6,1,3.0001418162722087,3.2186298206307136,7.8340941882988995,2.7388631524971574,4.058333399659723,2.374587120083051,5.715032084411373,6.322929557503739
7,0,4.323366678572394,3.312873027812724,4.345342332183325,7.720493158734879,7.4270465094515545,6.562024509575045,7.524295528284173,4.033919986246965
8,3,8.314351968374602,4.742384313310566,4.028545819806338,3.247859535535118,9.016882306003811,6.810273514451513,6.954505919615688,3.044722487907936
9,1,3.050510031518869,2.6173774334543496,2.4272058521148625,4.156511597915606,4.827758252016271,3.7877456395017033,7.068490458139923,3.1946159179867246
10,1,9.462266012873526,2.8001914176863316,2.6943155153085936,2.4599059940703003,5.6669928148729465,4.963287240180106,7.075774646212834,4.185579700005137
11,2,7.939193865495403,2.261994294219291,2.772576462400715,2.2070488895092955,8.286124195877138,3.1757661025369583,3.099198049122056,8.128205771593393
12,5,4.381522170397548,6.818474516873314,6.008378815182936,8.345300519127266,5.445235619461277,5.452066668395555,3.449656040386058,7.458328058469209
13,1,6.0847060616956705,8.074570218313294,6.752601325590389,4.898844910957854,3.010775758220298,12.598622483196095,4.663351983097475,7.130681318242111
14,1,7.256905462071638,4.145543850094704,5.885348727211869,5.083071498380868,2.597307190740729,7.269864226349391,3.110652433853494,3.2945434029155543
15,0,2.3273544630082554,2.062892612325425,5.678401838766063,9.287303973813597,3.191282551643802,3.082606121042871,3.882106186532338,3.2452463223574366
16,1,3.0805882637879884,5.343863132869549,4.204283171711806,2.404240605022723,5.260314084973058,4.071173256998941,3.2068312857768406,3.093636722031174
17,1,6.1158061912438555,3.9845848063605556,3.3100574795159217,5.114977661726734,5.790496088584341,5.216034960887946,10.985174653928215,8.851816112159922
18,2,7.418296045238809,12.090225343580578,3.3675198857430115,8.177900043542103,4.1868623694335785,9.759386438785965,5.829833018322428,5.411286307026493
19,1,8.874869033809906,5.854395724731464,7.789239646064942,5.184481740602687,2.7490807836873916,5.805680820310107,8.523336822157358,6.03675097227342
20,1,6.571564924926117,6.376345419709803,3.929023265555637,6.301228291140433,7.008100065297902,5.054946105976719,8.582123437858337,7.171131354424012
