T,FC,x1,x2
1,1,2.309876401234708,3.2505925120786054
2,1,8.196214097973838,3.0598951151953973
3,1,3.9538239313654033,6.281776895706441
4,4,6.670583133408579,7.216091529649141
5,0,8.083025194766705,3.364865878001774
6,4,4.71910402691657,5.1021072974837
7,6,8.367945979491914,6.855253894336477
8,1,6.824137821336858,7.368131953164472
9,2,6.936698820859539,5.162430500467193
10,0,5.338944898106033,7.56233192519928
11,3,6.168016667092745,3.2887619885315607
12,5,4.708482495211829,7.583333540836099
13,5,6.352179930965758,2.7317070500717486
14,2,3.3678316871652862,7.656499047080647
15,5,2.102999784911211,4.154416128798242
16,2,4.193489558279489,3.06633846759559
17,1,3.6020534445142944,3.1090084210355435
18,0,3.728771609839793,4.45537716176349
19,3,4.016822523168878,3.108061824484638
20,0,4.240675740780351,4.019721583202941
