T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,12,4.586240078797785,2.3652562656206393,3.4928866380741255,9.487457639188063,2.9569107399699144,3.6844395297625887,3.4726966178110557,7.93779063412158,7.228800271264395,6.0238085838196875
2,3,4.213049368091582,7.581103005278651,6.081755097969067,6.027409564570591,9.527235192075764,5.25120528412886,5.35020672558834,5.690586340542334,6.005405915172269,6.487198034293
3,10,3.3134504376531226,4.137780017309472,7.053484333335666,3.9930103428082546,4.855960266577786,12.373629997523407,7.6065957568648725,8.08966732293343,6.552908643309394,7.236663578854628
4,1,2.4144066059736984,8.057541678241897,6.483205409001884,4.731877855527054,6.485224578943842,6.156026993972513,2.540039046966413,4.436729993735505,6.333079644285581,5.778964133737285
5,7,6.264865181879756,6.272318500598432,8.886333942015284,7.373356861491488,5.4972066365255285,6.363377032902834,6.369078041291225,3.6552613718303624,6.333886776429852,4.818785637826627
6,2,3.0204256712502695,7.25649974280765,6.840082911829957,7.2663710843461375,3.7333418016173425,2.946980486177959,5.704488551616816,7.125296269094672,2.2208164054220263,7.809450516382457
7,5,9.319808754025768,7.175751013855771,4.481461455201926,6.375907407982277,9.299148355006217,7.8801869755173115,6.551613917661242,8.545000424894317,4.083621960900978,4.088240426288147
8,3,7.220601861355183,6.894368252500305,2.341930597367278,5.271780706568395,5.074270725084794,2.3990708144351283,8.528564849788687,5.220551000249067,2.033234592226989,8.426437458606735
9,3,5.188908035714633,3.7508110007545197,6.3699039476647386,2.5808268874855487,2.589667571561943,6.895147224995807,3.6080486981505304,7.655920884851229,3.6759368442296596,8.548434887486803
10,5,10.505281346903693,7.240546906981882,6.920831138948156,7.194701400217013,4.33661294099812,7.369413012348506,8.369992965650054,3.178333791235686,4.810439111449184,5.072182688341739
11,3,5.190399441554937,7.3086149719607025,3.2030851850938817,7.907644244428016,3.562763432381361,5.628019828852839,7.520388705146695,3.347854583085754,5.260019941218858,3.6060311687950333
12,2,4.890960045770195,2.2200675166068025,8.815075629023568,6.823905777067679,4.538274008214328,4.0437399372960465,2.647527794135578,4.023446577073281,4.008147533847356,5.510779111705696
13,2,5.134432643677419,4.546106045970074,6.13635525512426,5.90635505846883,4.243986848836022,2.179770172576386,5.750691394159855,2.9014424034266675,4.5167619654512245,5.284102349567937
14,0,6.443495932814773,2.3631328987818945,6.850599521286854,4.161513811001035,3.3114667211563216,2.6898366240249256,4.561238237578059,3.2966303056441033,2.119619787180069,4.44482972384077
15,1,8.21141464045483,2.612718631396882,2.6839439805950587,6.20151663615888,6.301048718323082,7.216999573572875,3.1854148257854407,3.8392109427707335,4.149437073235495,4.312338208067309
16,2,4.709720061366362,4.060150775047196,2.1424696987880707,7.864930266818369,4.427123464521256,4.84530124708319,4.322639898888285,4.568447026495269,4.20845772100608,7.943215509551873
17,4,7.229836793576811,8.550479446512854,5.940142175526997,5.8866914843156435,4.044259832010608,4.014591654891824,2.4394628285679483,6.106602793786465,7.220543555776842,4.009991241251477
18,3,3.0535395438701447,4.172564746814746,8.644001329155818,5.2827323762731595,9.22382581313234,7.547887377496509,9.362764905035846,4.110190713912334,5.72200936298637,6.321426204332484
19,0,7.132403771991542,4.976423904861039,4.283210293246537,7.4821385118566415,4.093030350676099,5.256145051181805,3.9491098572094714,5.8757944067792955,9.181976619540693,4.788985947373708
20,1,4.652448100994942,10.067950412706152,5.020832276953028,3.113001404118099,3.087264225458374,3.102995739732122,6.116231857582311,3.0815363149253345,5.142648906859894,2.0299414280269903
