T,FC,x1,x2
1,1,7.857730452058243,2.953614237588935
2,1,3.2477064757742062,7.780263197811768
3,3,4.05759068295042,7.7593574434334975
4,2,9.95414272844334,6.357685883396548
5,4,4.014685795464132,10.304750689878997
6,1,6.9541290286718205,3.062973778192578
7,5,6.9336389378408985,9.042281334196204
8,6,7.819391693707461,3.4460411089395393
9,6,7.763823882069353,5.226730911969318
10,9,5.038823104562389,9.653933538176773
11,3,7.906853066454872,7.463429083097133
12,2,2.038671071658279,2.2485042509657536
13,5,4.007593064420287,2.2156245406319086
14,4,4.342924185787277,5.098356420774632
15,1,6.870976796106994,3.0601749294887433
16,2,5.766995142104256,7.059022806908058
17,4,7.131921440964406,6.938687265031547
18,4,6.007911040159479,3.9138558501493614
19,5,6.063850131137042,7.24118364151829
20,2,6.259631641957624,2.600212091729121
