T,FC,x1,x2
1,0,3.230938432164532,4.7139856637424575
2,0,5.354859594183238,6.1872213953468025
3,2,7.188939684384342,4.09706192149394
4,2,2.3443161322885038,7.794816386669851
5,3,6.412957649542908,6.209700546401811
6,1,8.250959290839866,4.6489697891024
7,0,3.5798400915992987,3.726638536855574
8,2,2.9944928748278867,7.753797088929949
9,0,8.802759735481706,5.828181178780756
10,1,2.045949989264088,6.002651554603019
11,2,8.049695073447264,5.595769677972702
12,1,4.767609701403444,8.168041431796937
13,0,4.283204456965471,3.079379899006999
14,2,7.891674955286973,3.052512934124111
15,0,7.459461733452523,6.214251831103942
16,2,5.984854393568103,7.184983080710957
17,2,2.3334386202317345,8.762498375213587
18,3,4.419941567259106,6.469993364093509
19,0,6.399993310774549,7.243872131028927
20,0,6.243817043148201,5.286343164100683
