T,FC,x1,x2,x3
1,1,6.859905632912075,6.629553134607747,3.9153968524143288
2,4,2.5936861968845983,5.687292769180237,2.2411652756677296
3,2,5.647399867164694,5.238773138804689,10.139564640893127
4,5,3.81073234947375,7.439961915787164,6.252176928016744
5,9,5.108856777223273,6.779809705682906,7.166272408085585
6,5,4.431588344782988,2.0260349373005817,7.050839845907733
7,7,8.477298897252625,2.09976503862574,4.383271268511963
8,5,8.790808742538852,5.1841553288212925,5.313821827719398
9,7,2.485045265090933,6.533976935349972,5.3308091623727405
10,3,8.804261625844969,7.529408695920103,8.044478881405354
11,6,5.207522168157496,8.665419229533825,4.429568440622262
12,7,3.0817167230271947,6.745230144364387,4.6329456736028725
13,4,3.2757981212578753,6.168349515403101,6.129622437819803
14,2,4.991546121599291,3.5573698386163133,9.126703699930786
15,4,3.221611385791835,4.050666355360383,7.074679318292322
16,2,5.153268551305417,8.314009525355061,4.154082836930258
17,1,2.0434560238529786,5.411364607243113,7.080141123137097
18,2,6.4586019592743895,6.403891424874628,5.520483674108764
19,1,7.19971626618014,5.345865202387177,7.418800993224254
20,0,4.8644276410769365,2.9129979638944548,7.078353801369542
