T,FC,x1,x2
1,5,4.075282432410746,8.455261786636061
2,4,6.068859360505051,4.030139500103114
3,4,3.407246661367904,6.734943978262377
4,5,7.584690784381065,4.073302867906508
5,3,4.019121074167632,3.0350334458981507
6,3,3.9191132651237455,2.514660971256964
7,3,8.256534086389026,6.412559396055094
8,3,5.465259051551861,7.750592131630284
9,2,4.201336287095445,7.279468282517614
10,5,7.6934433325498315,2.4297555756647595
11,2,7.191219865317158,6.270160873932694
12,1,3.861652340383229,6.418783802999636
13,0,9.173707565189007,7.3091190565214195
14,0,4.339591310759799,8.058027668753432
15,2,7.733744698188119,9.875130856890399
16,0,2.345444754354956,3.829788265946442
17,3,7.577312972243586,7.9047759255270975
18,2,3.3293791358859512,7.140178390056088
19,2,6.65638826137538,2.198161421717394
20,2,4.649909946179143,6.55214231531698
