T,FC,x1,x2,x3,x4,x5,x6,x7
1,1,2.7766275536657847,6.717235244719237,5.075669918678916,8.9087646966818,3.5435462843307897,5.555467188870568,5.364221386586651
2,84,3.6378768912794857,4.017379282950226,6.930673763742943,2.6195260572868744,2.6707347752671353,3.6213967421160427,3.1209613310884126
3,34,3.7462149731999776,4.769937797051274,7.43591896350472,6.564670015345852,2.490974119320537,2.2442661753334283,4.628532843730083
4,1,7.538246293526594,7.407337800879265,2.4111984949158116,4.144127274258831,5.301808660965378,4.5208419541223055,2.070731045168819
5,0,7.489082033599508,6.474945551897846,6.110682405712191,5.494441599503181,8.440075285960235,3.409243094561493,6.682805460816661
6,0,4.106134240589858,4.794332705302253,5.49906997466822,7.256451232615268,6.324022623177571,6.098928336262898,7.5475533701369075
7,0,8.634644611761875,7.06318409134877,6.074631666332283,4.07065709548675,5.746493408892358,3.2436284902303356,5.397404101382519
8,0,2.2428208808061467,7.768665111705728,7.702368153216251,2.402834295495984,2.1160350523995417,5.0588229481257745,8.559926144481674
9,0,5.860190581706364,3.72102846185323,2.7234156169403394,3.5576482251766013,7.3459837842482765,5.268688687835979,4.69327978171075
10,0,6.140576156703116,6.8226221630753585,8.567354212575182,8.048149495050986,2.2700755272893116,6.318998757823765,2.675185966125018
11,0,6.2472174985873,3.3275537864958737,6.63225750502149,6.065790686349797,4.128380977345551,7.482222021581649,3.4823468344521085
12,0,2.8267687202595093,7.096483964971649,4.938834011993212,2.227665559749818,7.477380424137261,3.1572175276567003,6.918357033543172
13,0,2.5010155998093797,4.081760381255786,7.252358125860315,4.0500935394048305,6.841844921442077,6.78271304260551,8.317132593297396
14,0,7.173093504983475,6.657571056462427,5.948513514674258,2.3858224223814988,9.310085878178299,4.11098844680944,8.64535181845321
15,0,4.503353686503196,6.240852193099197,7.688808010583263,5.094339188134166,7.007543417728789,10.331149516452772,5.390120369424615
16,0,7.334608454559372,3.7882171632972703,2.0022257906938714,3.189848406873126,7.014608007805555,7.7967693682259185,6.115560670607838
17,0,5.8236120063915084,5.087028853046678,3.752570715066603,3.051795638489966,3.6171228760638643,5.584878353195201,5.354296940068477
18,0,8.507393503529467,5.418410601949812,4.045631481081073,7.599356086773168,3.006111112187287,5.889306343084913,3.099843374072834
19,0,5.3373199409963465,7.659648439404689,7.391935852577233,5.0479220777092175,2.684725579213051,6.941332274095125,4.838805927698489
20,0,4.522002007841479,2.1738310108302343,8.164415921224535,2.0721631720349123,2.31495145716374,7.11545857511928,3.2468059560318268
