T,FC,x1,x2
1,0,4.694684082583491,4.341831156519985
2,1,9.016949206154969,4.033986937095976
3,0,2.0258798860894154,6.001635381961353
4,4,8.982142001661089,6.5130447577767105
5,5,2.3358272284727417,6.3115769392556995
6,7,4.411082867191788,2.0767414503140604
7,7,2.039892280150022,4.06040544721213
8,4,7.99038191401377,11.218467680824375
9,1,3.8386897162037794,7.971480976109573
10,4,3.953516820222343,6.119776458814612
11,3,4.537365853662074,2.077235136505096
12,3,3.298629274515197,3.5523365146568535
13,9,4.33432042550696,4.06608104676603
14,2,3.43993681814674,4.8169729001164505
15,5,5.735600810516407,6.01026539508529
16,4,7.025624699582788,4.104653242664151
17,1,3.0232787059710433,6.156262736229903
18,1,3.787113498647489,6.032469996211647
19,0,5.739490518675074,5.028620587418796
20,4,6.218346490950734,2.3647702653850846
