T,FC,x1,x2
1,0,4.535950600588977,3.849377365452118
2,3,6.165713277999499,7.566304566073862
3,1,7.040027768869739,4.916510488858883
4,1,8.211759651974731,7.043938817518014
5,3,7.5265455864671384,6.075783890511698
6,1,4.736482716868283,4.047332568769873
7,1,8.272789744986575,6.596754421090408
8,3,5.223024222257347,6.342479163186621
9,1,5.1449024295956365,7.6826273938697955
10,2,6.540337762245765,3.1669861556577903
11,1,4.477670419394227,5.517745644197743
12,3,4.193876430874431,5.558312519599576
13,2,7.125390889701188,5.922103386239987
14,4,3.307453459271014,2.3895399861993645
15,2,8.414660527101548,7.421631888198167
16,1,3.835559482851906,3.431104473004577
17,2,5.985473078958685,7.078272137071977
18,0,2.666789824891347,4.821390155715903
19,1,4.6619907833997285,6.551593687448618
20,0,5.335785137667714,6.020983782368851
