T,FC,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,4,6.65341476038137,3.0404701158499075,6.186893983855047,5.47859738354689,3.380111035273672,7.207502131966608,8.15236988499544,6.432468344295713,6.058366328714075
2,2,7.279806617323276,7.797394481100445,4.483328993035734,3.0581612677040204,7.749977050549792,3.4190789135140376,3.654262089169227,3.706260220264934,4.301147249350875
3,3,4.261198785905633,7.864729037469661,5.293908901102629,2.121124025632962,7.437803426126185,3.9965055148288946,3.453542168122537,2.2790907343173603,2.087812889110813
4,4,4.913826547466156,5.006921692470014,6.633284861199259,7.850996267708353,7.918409596021383,5.550303450827309,6.126688558210946,5.0340803312749385,6.415916437464499
5,6,2.8292600519503446,7.444831090792692,6.09606581109569,7.137139612878876,3.565918103885872,7.406735674497468,3.1743997714626864,4.890790110049252,7.273018934977529
6,4,3.8694961481121823,7.2758444078029925,2.8968563245348276,5.144606378956974,6.818081487035302,3.1410622876652754,5.301386752352195,3.796775784351481,4.621822851944083
7,1,7.340397226144176,5.221604104916834,4.489903472229541,5.053589565855928,7.381743565645557,2.069020891997314,5.583557140394947,5.36871398482607,7.416701071184613
8,3,4.676034060027329,8.077200377165257,4.27669654523908,6.547642692865009,3.2606577288065437,5.672045518193062,3.0763603512213384,7.457637858709248,7.753569942038003
9,4,3.297443881725691,5.20152221104259,2.186257575390395,3.6965502677076048,2.0686141211079305,6.753155187936267,4.346500221951971,6.283936216158141,2.1831139789947005
10,5,2.095942586958742,4.170433767700348,5.301453174048732,2.038376011171373,6.871708894932228,6.31465482011833,5.765824891243433,3.5456239556978097,2.438755985063653
11,2,8.283001403919036,3.2590339299699815,7.225199959100894,4.5200121556180255,7.37837416682645,4.239256052164298,3.7826747105231213,7.130226530910379,7.772531971363767
12,4,4.58909408296353,8.257599035440899,5.482462731725281,7.451833100969393,6.234089491622015,6.108386289288376,3.894486043087733,4.368727018002078,7.104741677581353
13,1,4.969956813679792,6.846358154954211,2.068659384718594,6.606253084824282,6.828681885229237,6.646962980725906,2.2789130300280513,7.795350604586769,5.063887222437478
14,2,3.561820500970381,7.489545836995166,4.385761788327097,8.304023190529707,4.7477702324766575,7.555634244273724,6.8087422498205825,4.412752290323117,6.969066768844021
15,2,4.345410751772974,7.075476039680743,5.529532847576734,3.10105713112621,3.119469562177486,4.370401736597235,8.255916358427646,7.063482028830609,4.615633025331179
16,5,3.4605026815741,4.365485728198694,5.366011334442813,3.4401392536624753,10.35905615631516,2.393722912175157,2.825693462116641,6.436391613940524,5.519936149437761
17,1,3.2963923049650345,5.9587338189715595,5.954558140716445,7.290298775079778,6.352129604440539,7.386785054459414,4.857200794809921,5.235950697800075,5.052858781183629
18,2,5.782758106052667,8.203782262720182,5.44444384235481,3.1429926724510224,4.225281106249772,6.305933252781602,6.335315826650722,4.342099220133516,5.312787869288609
19,0,6.402644278778744,3.586068810432521,5.200480200424331,5.476322315837681,2.7647242726308834,4.1848443995981786,3.105267480485653,8.163169731957202,5.265900522075118
20,1,6.649113849594278,6.433466174895273,5.3686991078372275,9.771836676447542,4.775707756485601,8.807275188302622,9.252726916633451,4.380079388840434,4.130123405599274
