T,FC,x1,x2,x3
1,4,4.656846909551417,5.415209433902623,5.035668977328881
2,3,2.149224360533721,5.462126160347086,5.581296123419601
3,4,5.25060674539868,3.427237781799207,3.5621599304317235
4,7,9.522750155789442,3.1770539577993437,3.358080529266905
5,3,4.212405322511653,2.077637967297962,7.812381319788665
6,0,7.0117653520654555,5.244608118616567,4.499427107655826
7,1,7.739086550401989,9.06395968742517,6.458461576705164
8,0,2.0687502830875446,4.305344051853295,4.544465154517412
9,0,5.532718955913753,3.056730570906556,2.944462262163903
10,4,2.079534506279848,7.445931397062074,6.603202703176654
11,0,5.173758882031335,3.3598530397643582,4.259975685934535
12,4,4.164929253332901,4.796511191750248,3.589319500012646
13,3,7.152317918826639,6.220382831598903,4.198770386957128
14,4,2.28535609849686,4.002599195132538,3.2044496892558274
15,1,4.450125052149891,5.044425541774384,4.058058658137989
16,2,2.2855578653005755,6.1759025065038085,7.711807094757652
17,0,2.157704754282518,2.7524060003311304,3.974295438094665
18,0,7.793689720578858,8.878227062831353,4.0861775280028345
19,2,7.227647898519419,6.4980797550480265,6.870527631505711
20,1,7.302577127730021,3.099234577063958,5.293296163567171
