T,FC,x1,x2,x3,x4,x5
1,4,3.601954786776268,7.82577420778763,6.195136046973827,6.832981451414069,4.9716031044418
2,2,9.493106037670152,7.263560061560641,3.9365325312660997,4.051550929366716,4.061777977414032
3,4,8.12606464392438,7.958922914165666,5.742297770286188,7.131271978283319,2.0815904986236813
4,4,3.6756528029659647,2.542651473361432,3.9068578547183117,2.2262981677837557,7.739769170794672
5,2,8.0454240305843,4.036458009007008,6.3513083895613285,3.527077992162127,5.945368563442586
6,15,5.986858336014151,7.399575863730328,3.4241426962655597,7.967150883319635,6.818392818182064
7,7,5.477038156083846,7.044259734218959,4.927282996603124,6.057811627616758,6.530434966135497
8,5,4.18425705918715,6.074122644626796,5.107674409917239,2.2253246941218014,7.570627306470803
9,5,2.5471592481560883,7.902583203802398,3.3258005499746774,4.866375185147019,8.282406834633669
10,8,5.584156329113741,2.0101857687152442,4.048933896553898,5.05439697184639,3.395618478871743
11,3,5.147559568493084,3.269878088557855,6.821799757728375,5.390087496717657,10.729333759943302
12,8,5.014352782628749,4.562621372201706,2.359299132703619,3.6272061064320202,6.359422936802414
13,4,2.6064718459593577,5.974160374425983,8.51352802718843,5.395529402701921,3.7448414632484828
14,5,4.408550096639738,8.535919300171924,7.390734998910638,6.170357136122043,6.280451161152346
15,2,3.123825053721095,6.66996012055565,3.9658488424876683,4.158776159198691,2.065267207417259
16,1,4.452522548202365,7.3063204582694246,5.817058257788379,5.780692444934202,7.6794028035080375
17,1,7.720966288405275,2.319451443894222,7.633010903016029,5.357526592838327,9.422464167300944
18,6,6.0785396353810075,4.857750678839214,5.6712183517655035,6.845338750952339,5.112402742633923
19,1,5.354820893864025,2.234573144765129,5.940211706591256,6.215705649749983,7.788039248231583
20,2,8.717217357959907,8.781159470464335,11.23413688752576,3.0108670938907367,4.414834358945434
